SYMBOL	N
USH2A-AS2	10
WBP2NL	10
WDR17	10
ZNF236-DT	10
ZSWIM4	10
AGAP6	9
AKR1C8	9
AMY1A	9
APRT	9
ARHGAP28	9
ASPN	9
ATP11A	9
B4GALNT2	9
BMPR2	9
BRD3OS	9
C1QTNF6	9
CA10	9
CALML4	9
CHD7	9
COX7B2	9
DNM3	9
DOP1B	9
DRC11	9
ERMP1	9
EXOC6	9
FHL1P1	9
FOXN3	9
FRMD4B	9
GALNT9	9
GPSM3	9
GREB1L	9
GRHL2-DT	9
HCK	9
JAK3	9
JRK	9
KALRN	9
KCNQ1	9
KPNA6	9
LINC01182	9
LINC02313	9
LINC02603	9
MACF1	9
MGAT5B	9
MIR4500HG	9
MYDGF	9
MYO18B	9
MYO3B	9
NR2E1	9
NRXN3	9
ODAPH	9
OTULINL	9
PBX2	9
PCDHGC3	9
PDGFD	9
PPM1L	9
PRSS33	9
PTPRT	9
RAD18	9
RPSAP42	9
SLC4A5	9
SLC9A2	9
SLIT2	9
SPAG17	9
SPEF2	9
SPRR2A	9
SRBD1	9
STIM2	9
TAFA2	9
TAOK1	9
TDRKH-AS1	9
TEX48	9
THRB-AS1	9
TMEM196	9
TNR	9
UGT1A4	9
UNC5C	9
VAPB	9
VNN1	9
XIRP2	9
ZFC3H1	9
ZNF236	9
ZNF609	9
ZNF610	9
ZNF804B	9
ACADL	8
ADCY1	8
ANKAR	8
ANKRD12	8
BNIP5	8
C7orf25	8
CARD11	8
CAVIN3	8
CBFA2T3	8
CCDC171	8
CCDC192	8
CCDC7	8
CCDC97	8
CDH26	8
CENPF	8
CLCF1	8
CNBD1	8
COL21A1	8
COPG2	8
CPAMD8	8
CRB1	8
CTNNA2	8
DACH1	8
DENND5B-AS1	8
DNAAF4	8
EBF3	8
EFCAB5	8
EFHD1	8
FAM167A	8
FBXO28	8
FCRL5	8
GNAQ	8
HLA-DOB	8
HS3ST1	8
KIRREL3	8
LINC00671	8
LINC00698	8
LINC01016	8
LINC01030	8
LINC01234	8
LINC02068	8
LOXHD1	8
MACROD2	8
MEX3C	8
MYH15	8
NAV3	8
NCF1B	8
NECTIN4-AS1	8
NEDD9	8
NIM1K	8
NKAIN2	8
NRG1	8
PCDHGB6	8
PCNX1	8
PHLPP1	8
PLD5	8
PNMA8A	8
PNPLA7	8
POLR2A	8
PRDM16	8
PRRT1	8
PSMD7-DT	8
PURPL	8
RASAL2	8
RGS12	8
RIT2	8
SGO1-AS1	8
SIGLECL1	8
SNTB1	8
SUCNR1	8
SYNPR	8
TAFA4	8
TBC1D26-AS1	8
TENM4	8
TIMM10B	8
TNFRSF11B	8
TOP2A	8
UPK1B	8
UPP2	8
USH2A	8
ZBTB9	8
ZNF318	8
ZNF69	8
ADAMTS4	7
AGBL4	7
AHR	7
ARHGAP15-AS1	7
ARK2C	7
ASTN2	7
BANK1	7
C22orf46P	7
CCDC3	7
CCDC80	7
CDH6	7
CFAP46	7
CHADL	7
CHML	7
CHSY3-AS1	7
CNTLN	7
COG5	7
DAGLA	7
DHRS4-AS1	7
DLGAP4	7
DNAH5	7
EFR3B	7
EPHB1	7
ESRRB	7
FAM242B	7
FARS2-AS1	7
FLVCR1-DT	7
GFOD1	7
GNAI1	7
GPR22	7
GRHL1	7
GRM5	7
GSG1L	7
HLA-DMB	7
HYLS1	7
ITGB3	7
KCNQ5	7
KDM2A	7
KIF24	7
KLHL14	7
KSR1	7
LEPR	7
LGI2	7
LINC00620	7
LINC00667	7
LINC01162	7
LINC02138	7
LINC02247	7
LINC02796	7
LMO7DN	7
LRRC37B	7
MADCAM1	7
MAML1	7
MARCHF11	7
MEF2C-AS2	7
MFHAS1	7
MRPL35	7
MYLK4	7
NEBL-AS1	7
